,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
5241,Legal Transfer in the Common Law World,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Institut für Rechtsgeschichte'],[],"[['Vogenauer< Stefan < Hon.Prof.', '']]",Seminar,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310564&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5242,Klassische Probleme des Zivilrechts aus rechtsvergleichender Sicht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Fachbereich 1 -  Rechtswissenschaft', 'Professur für Zivilrecht, Zivilprozessrecht, Internationales Privatrecht und Rechtsvergleichung']",[],"[['Maultzsch< Felix< Univ.-Prof. Dr.', '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=308982&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5243,Klassiker der Rechtswissenschaft oder Juristische Bildung,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Fachbereich 1 -  Rechtswissenschaft', 'Professur für Neuere Rechtsgeschichte, Geschichte des Kirchenrechts und Zivilrecht']",[],[],Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310322&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5244,Justiz und Kapitalismus - Rechtskonflikte und ihre Bewältigung im 19. Jahrhundert,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Pahlow< Louis< Univ.-Prof. Dr.', '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310239&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5245,German Law & Legal Culture:  A Critical and Comparative Examination,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Institut für Rechtsgeschichte'],[],"[['Vogenauer< Stefan < Hon.Prof.', '']]",Seminar,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=315815&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5246,Einführung in den Schwerpunktbereich Rechtsgeschichte,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Institut für Rechtsgeschichte'],"[['Pahlow< Louis< Univ.-Prof. Dr.', 'verantwortlich']]",[],Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307586&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5247,Die Genealogie der Menschenrechte,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Fachbereich 1 -  Rechtswissenschaft', 'Institutsübergreifende Einrichtungen des FB 01']",[],"[['Duve< Thomas< Univ.-Prof. Dr.', '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=306168&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5248,Die Freirechtler,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],[],Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310162&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5249,Willem C. Vis International Commercial Arbitration Moot (Schiedsverfahrensrecht),['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Professur für Zivilrecht, Zivilprozessrecht und Rechtsvergleichung', 'Professur für Bürgerliches Recht, Handels- und Versicherungsrecht, Internationales Privatrecht und Rechtsvergleichung', 'Westend Veranstaltungen im WS 2020/21']",[],"[['Wandt< Manfred< Univ.-Prof. Dr.', ''], ['Zekoll< Joachim< Univ.-Prof. Dr.', '']]",Seminar mit Kolloquium,CS-NH,WiSe 2020/21,4,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=306186&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5250,Vertiefung des Allgemeinen Teils des Versicherungsvertragsrechts,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Reusch< Peter< Hon. Prof. Dr.', '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310332&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
