,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
47,Guimarães Rosa: Drei Portraits aus Brasilien,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Garcia Simon< Diana< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265193&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
48,Goethe: Faust. Der Tragödie zweiter Teil,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Amos< Thomas< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265160&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
49,Gebrochene Teleologie. Politische und literarisch-politische Texte zur Frage nach der Zwangsläufigkeit politischer bzw. historischer Prozesse,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Füllgrabe< Jörg< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=271786&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
50,Franz Kafka: Brief an den Vater- Korrespondenzen- Tagebücher,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Fink< Adolf< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265178&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
51,Der Western – Wandel eines Film-Mythos,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Mispagel< Nathalie< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265164&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
52,Anna Seghers: Literatur und politisches Engagement,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Amos< Thomas< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265190&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
53,„Der Zeit ihre Kunst – Der Kunst ihre Freiheit“,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Kimpel< Dieter< Prof. Dr.< Prof. i. R.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265165&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
54,Zucker- Baumwolle und Co. – Europa und der Welthandel,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Krasberg< Ulrike< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265212&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
55,Warten im menschlichen Leben,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schilling< Heinz< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=269226&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
56,Die Gedanken sind frei,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Krasberg< Ulrike< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265156&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
57,Musik und Politik,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bartel< Helmut< Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265268&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
58,1900 oder Die Fröhliche Apocalypse – Zum  Musiktheater der Jahrhundertwende,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Abels< Norbert< Prof. Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265253&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
59,Zwischen Impressionismus und Expressionismus,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Vorlesung mit Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265272&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
60,Stadtbilder – Klischee- Image oder Realität,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bußmann< Kerstin< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265155&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
61,Metropole London – Stadtarchitektur von C. Wren bis J. Soane,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schmied-Hartmann< Petra< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265210&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
62,Malerinnen im 20. Jahrhundert – Aufbruch in die künstlerische Emanzipation,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wehner< Dieter Tino< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265188&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
63,Griechische Kunst: Die Frühzeit bis zum Ende der Archaik,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hodske< Jürgen< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265197&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
64,Geschichtserfahrung im Offenen Archiv,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hildebrand-Schat< Viola< Apl. Prof. Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=271315&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
65,Fotografie der Zwischenkriegszeit,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Scherb< Johanna< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265211&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
66,Farbspuren: Grün als kulturelles Phänomen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bußmann< Kerstin< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265176&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
