,Person,Institut
213,Lind < Annika <  < ,Zentrum für Schlüsselqualifikationen
214,Luzius < Janina < Dr. < ,Zentrum für Schlüsselqualifikationen
215,Ma < Qian < Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
216,Maier-Bridou < Nathalie <  < ,Zentrum für Schlüsselqualifikationen
217,Massmann < Marlene <  < ,Institut für Öffentliches Recht
218,Mathews < Roopa <  < ,Zentrum für Schlüsselqualifikationen
219,May < Andreas < Dr. < ,Zentrum für Schlüsselqualifikationen
220,Meinecke < Fabian < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
221,Mendonca < Andre < Dr. < ,Institut für Öffentliches Recht
222,Menz < David <  < ,Zentrum für Schlüsselqualifikationen
223,Müller < Joscha < Dr. < ,Zentrum für Schlüsselqualifikationen
224,Netzer < Antonida < Dr. < ,Zentrum für Schlüsselqualifikationen
225,Niebel < Rembert < Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
226,Nigro < Casimiro Antonio <  < ,DFG-Forschergruppen
227,Nigro < Casimiro <  < ,Bitte manuell einfügen
228,O ́Donoghue < Martin < Dr. < ,Institut für Rechtsgeschichte
229,Paris < Davide < Dr. < ,Bitte manuell einfügen
230,Parzinger < Josef < Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
231,Pöggel < Jill < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
232,Recchia < Nicola < Dr. < ,Exzellenzcluster
233,Reiß < Roman < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
234,Rieckers < Oliver < Dr. < ,Institut für Zivil- und Wirtschaftsrecht
235,Roche < Maximilien <  < ,Institut für Zivil- und Wirtschaftsrecht
236,Röder < Daniel < Dr. < ,Zentrum für Schlüsselqualifikationen
237,Rombach < Annett <  < ,Zentrum für Schlüsselqualifikationen
238,Schäfer-Kuczynski < Jana < Dr. < ,Institut für Öffentliches Recht
239,Scheibenpflug < Philipp < Dr. < ,Institut für Zivil- und Wirtschaftsrecht
240,Scheibert < Hans-Peter <  < ,Zentrum für Schlüsselqualifikationen
241,Schiessl < Martin < Dr. < ,Institut für Zivil- und Wirtschaftsrecht
242, <  <  < ,Bitte manuell einfügen
243,Schilling < Hellen < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
244,Schmid < Jeannette < Priv. Doz. Dr. < ,Zentrum für Schlüsselqualifikationen
245,Schmidt < Adela < Dr. < ,Institut für Öffentliches Recht
246,Schmidt < Christine < Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
247,Schmidt < Finn-Lauritz <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
248,Schmitt-Gaedke < Gernot < Hon. Prof. Dr. < ,Bitte manuell einfügen
249,Schott < Konrad < Dr. < ,Institut für Öffentliches Recht
250,Schreiber < Frank < Dr. < ,Institut für Öffentliches Recht
251,Schultess < Paul < Dr. < ,Angeschlossene und kooperierende Institute
252,Schümann-Cohen < Caroline <  < ,Zentrum für Schlüsselqualifikationen
253,Sehrbrock < David < Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
254,Selzer < Annika < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
255,Sendetska < Olga <  < ,Zentrum für Schlüsselqualifikationen
256,Skordas < Achilles < Prof. Dr. < ,Institut für Öffentliches Recht
257,Spoerr < Wolfgang < Prof. Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
258,Steinbrück < Anne < Dr. < ,Institut für Öffentliches Recht
259,Steinke < Ronen < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
260,Tavares < Juarez < Prof. Dr. < ,Bitte manuell einfügen
261,Tebel < David < Dr. < ,Zentrum für Schlüsselqualifikationen
262,Teixeira Martins < Antonio José < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
263,Tiedeken < Tjarda <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
264,Trendelenburg < Cornelius < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
265,von Wehrs < Henrik <  < ,Zentrum für Schlüsselqualifikationen
266,Wagenführ < Pascal <  < ,Zentrum für Schlüsselqualifikationen
267,Weh < Florian <  < ,Zentrum für Schlüsselqualifikationen
268,Weiß < Daniel < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
269,Welke < Wanja < Dr. < ,Bitte manuell einfügen
270,Wenglarczyk < Fynn <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
271,Werthwein < Simon < Dr. < ,Interdisziplinäres Zentrum für Ostasienstudien (IZO)
272,Werum < Larisa <  < ,Zentrum für Schlüsselqualifikationen
273,Williams < Alice <  < ,Zentrum für Schlüsselqualifikationen
