,Person,Institut
4809,Trenk < Dietmar < Dr. < ,Bitte manuell einfügen
4810,Ude < Miriam < Dr. < ,Institut für Pharmakologie und Klinische Pharmazie
4811,van de Streek < Jacco < Dr. < ,Institut für Anorganische und Analytische Chemie
4812,Viertelhaus < Martin < Dr. < ,Institut für Anorganische und Analytische Chemie
4813,Weber < Gitta < Dr. < ,Bitte manuell einfügen
4814,Wehner < Johannes < Dr. < LL.M.,Bitte manuell einfügen
4815,Weil < Tanja < Dr. < ,Bitte manuell einfügen
4816,Woski < Markus < Dr. < ,Institut für Didaktik der Chemie
4817,Brockmann < Andreas < Dr. < ,Institut für Pharmazeutische Chemie
4818,Hützler < Maximilian <  < ,Bitte manuell einfügen
4819,Lill < Andreas < Dr. < ,Bitte manuell einfügen
4820,Verplancke < Nils Hendrik <  < ,Institut für Anorganische und Analytische Chemie
4821,Dingermann < Theo < Prof. Dr. < ,Institut für Pharmazeutische Biologie
4822,Dhiman < Mukul < Dr. < ,Institut für Physikalische und Theoretische Chemie
4823,Mahler < Hanns-Christian < Apl. Prof. Dr. < ,Institut für Pharmazeutische Technologie
4824,Shao < Jiajie < Dr. < ,Institut für Biophysikalische Chemie
4825,Acker-Palmer < Amparo < Prof'in. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4826, <  <  < ,Bitte manuell einfügen
4827,Bode < Helge B. < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4828,Böhmer < Maik < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4829,Böhning-Gaese < Katrin < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4830,Boles (emeritiert) < Eckhard < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4831,Brandt < Angelika < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4832,Büchel < Claudia < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4833,Dierkes < Paul W. < Prof. Dr. < ,Didaktik der Biowissenschaften
4834,Ebersberger < Ingo < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4835,Eimer < Stefan < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4836,Hefendehl < Jasmin K. < Prof'in. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4837,Helfrich < Eric < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4838,Hollert < Henner < Prof. Dr. Dr. h.c. < ,"Institut für Ökologie, Evolution und Diversität"
4839,Janke < Axel < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4840,Klimpel < Sven < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4841,Kössl < Manfred < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4842,Laurent < Gilles < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4843,Lecaudey < Virginie < Prof'in. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4844,Leigh < Deborah < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4845,Matthäus < Franziska < Prof. Dr. < ,Institut für Informatik (IfI)
4846,Müller < Volker < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4847,Müller (FB 15) < Thomas < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4848,Müller-McNicoll < Michaela < Prof'in. Dr. < ,Institut für Molekulare Biowissenschaften
4849,Oehlmann < Jörg < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4850,Osiewacz < Heinz Dieter < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4851,Pauls < Steffen < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4852,Piepenbring < Meike < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4853,Scheepens < J. F. Niek < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4854,Schleiff < Enrico < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4855,Schmitt < Imke < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4856,Schneider < Flurina < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4857,Schumann < Erin < Prof'in. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4858,Sigwart < Julia < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4859,Soppa < Jörg < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4860,Stahl < Yvonne < Prof'in. Dr. < ,Institut für Molekulare Biowissenschaften
4861,Stelzer < Ernst H. K. < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4862,Thines < Marco < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4863,Wanke < Stefan < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4864,Wenzel < Volker < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4865,Wöhnert < Jens < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4866,Grünewald < Bernd < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4867,Stainier < Didier < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4868,Tockner < Klement < Prof. Dr. < ,Institut für Geowissenschaften
4869,Schulte < Lisa Maria < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4870,Zarnack < Kathi < Dr. < ,Buchmann Institut für Molekulare Lebenswissenschaften (BMLS)
4871,Bereiter-Hahn < Jürgen < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4872,Brüggemann < Wolfgang < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4873,Döhler < Günter < Prof. Dr. < ,Bitte manuell einfügen
4874,Entian < Karl-Dieter < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4875,Feierabend < Jürgen < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4876,Fleissner < Günther < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4877,Gnatzy < Werner < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4878,Lange-Bertalot < Horst < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4879, <  <  < ,Bitte manuell einfügen
4880,Prinzinger < Roland < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4881,Sandmann < Gerhard < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4882,Schaub < Hermann < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4883,Schrenk < Friedemann < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4884,Starzinski-Powitz < Anna < Prof'in. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4885,Steiger < Helmut < Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4886,Streit < Bruno < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4887,Wiltschko < Wolfgang < Prof. Dr. Dr. h.c. < ,"Institut für Ökologie, Evolution und Diversität"
4888,Winter (FB 15) < Christian < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4889,Zimmermann < Herbert < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4890,Zizka < Georg < Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4891,Amendt < Jens < Apl. Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4892,Averhoff < Beate < Apl. Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4893,Brack < Werner < Apl. Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4894,Köhler < Gunther < Apl. Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4895,Kullmer < Ottmar < Apl. Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4896,Peichl < Leo < Apl. Prof. Dr. < ,Bitte manuell einfügen
4897,Rohrer < Hermann < Apl. Prof. Dr. < ,Bitte manuell einfügen
4898,Schrader < Jens < Apl. Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4899,Schumann < Gerald < Apl. Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4900,Hänel < Heinz < Hon. Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4901,Koller < Klaus-Peter < Hon. Prof. Dr. < ,Institut für Molekulare Biowissenschaften
4902,Bruch < Angela < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4903,Freudenberg < Florian < Priv. Doz. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4904,Gaese < Bernhard < Priv. Doz. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4905,Gregor < Thomas < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4906,Janussen < Dorte < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4907,Klaus < Sebastian < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4908,Lausen < Jörn < Priv. Doz. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4909,Neuschulz < Eike Lena < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4910,Oetken < Matthias < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4911,Schleucher < Elke < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4912,Schleuning < Matthias < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4913,Smith < Krister < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4914,Strilic < Boris < Priv. Doz. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4915,Sundermann < Andrea < Apl. Prof. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4916,Tilic < Ekin < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4917,Völker < Carolin < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4918,Waibler < Zoe < Apl. Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4919,Zimmermann-Timm < Heike < Priv. Doz. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4920,Bonzelius < Frank < Dr. < ,Dekanat und Studiendekanat FB 15
4921,Kötter < Peter < Dr. < ,Institut für Molekulare Biowissenschaften
4922,Rose < Matthias < Dr. < ,Institut für Molekulare Biowissenschaften
4923,Eser < Begüm-Eda <  < ,Didaktik der Biowissenschaften
4924,Fischbach < Kerstin <  < ,Didaktik der Biowissenschaften
4925,Kaiser < Elisabeth <  < ,Didaktik der Biowissenschaften
4926,Matic-Strametz < Mirjana <  < ,Didaktik der Biowissenschaften
4927,Sanzenbacher < Cordula <  < ,Didaktik der Biowissenschaften
4928,Dombrowski < Andrea <  < ,"Institut für Ökologie, Evolution und Diversität"
4929,Hornung < Simon <  < ,"Institut für Ökologie, Evolution und Diversität"
4930,Wollenweber (geb. Hotz) < Simone <  < ,"Institut für Ökologie, Evolution und Diversität"
4931,Ziebart < Simone <  < ,"Institut für Ökologie, Evolution und Diversität"
4932,Abondano Almeida < Diana <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
4933,Albrecht < Jörg < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4934,Angstenberger < Max < Dr. < ,Institut für Molekulare Biowissenschaften
4935,Bertold < Carolin <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
4936,Bock < Johanna <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
4937,Bodensohn < Uwe < Dr. < ,Institut für Molekulare Biowissenschaften
4938,Burger < Anna Lena < Dr. < ,Didaktik der Biowissenschaften
4939,Burkhardt < Lea Mareike <  < ,Didaktik der Biowissenschaften
4940,Cano Rocabayera < Oriol < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4941,Cuntz < Hermann < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4942,Cunze < Sarah < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4943,Czupalla < Lara-Marlene <  < M.Sc.,"Institut für Ökologie, Evolution und Diversität"
4944,Dal Grande < Francesco < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4945,Dechent < Bianca <  < M.Sc.,"Institut für Ökologie, Evolution und Diversität"
4946,Dietz < Christian <  < ,Didaktik der Biowissenschaften
4947,Dietzel < Lars < Dr. < ,Starker Start ins Studium: Qualitätspakt Lehre
4948,Dörge < Dorian < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4949,Duchardt-Ferner < Elke < Dr. < ,Institut für Molekulare Biowissenschaften
4950,Emge < Daniel <  < ,Didaktik der Biowissenschaften
4951,Fauth < Markus < Dr. < ,Institut für Molekulare Biowissenschaften
4952,Formella-Zimmermann (geb. Zimmermann) < Sandra < Dr. < ,Didaktik der Biowissenschaften
4953,Fragkostefanakis < Sotiris < Dr. < ,Institut für Molekulare Biowissenschaften
4954,Friedrich < Thomas < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4955,Fritz < Susanne < Prof'in. Dr. < ,Institut für Geowissenschaften
4956,Gebhardt < Philipp <  < Dr. rer. nat.,Institut für Molekulare Biowissenschaften
4957,Goßen < Mira <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
4958,Gübert < Jennifer <  < ,Didaktik der Biowissenschaften
4959,Hahn < Karen < Dr. < ,Zentrum für Interdisziplinäre Afrikaforschung (ZIAF)
4960,Hamann < Andrea < Dr. < ,Institut für Molekulare Biowissenschaften
4961,Hechavarria < Julio < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4962,Hernández Nieto < Juan Sebastián <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
4963,Hertler < Christine < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4964,Holland < Vera < Dr. < ,Dekanat und Studiendekanat FB 15
4965,Hörchner < Sarah <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
4966,Huertas de Schneider < Marilú < Dr. < ,Didaktik der Biowissenschaften
4967,Johann < Sarah < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4968,Jost < Matthias < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4969,Jourdan < Jonas < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4970,Kärtner < Victoria <  < ,Didaktik der Biowissenschaften
4971,Kastner < Thomas < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4972,Keller < Heiko < Dr. < ,Institut für Molekulare Biowissenschaften
4973,Khanahmadi < Soofia < Dr. < ,Institut für Molekulare Biowissenschaften
4974,Kim < Woorin <  < M.Sc.,"Institut für Ökologie, Evolution und Diversität"
4975,Kirchmaier < Bettina < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4976,Kleespies < Matthias < Dr. < ,Didaktik der Biowissenschaften
4977,Köhler < Jörn < Dr. < ,Bitte manuell einfügen
4978,Kubi < Michael <  < ,Didaktik der Biowissenschaften
4979,Kuhn < Kerstin < Dr. < ,Bitte manuell einfügen
4980,Kurzawe < Melina <  < ,Didaktik der Biowissenschaften
4981,Lahner < Gabi < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4982,Lehmann < Thomas < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4983,Lehnen < Lisa < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4984,Lenz < Malwine <  < ,Didaktik der Biowissenschaften
4985,Lipkowski < Konrad <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
4986,Lotz-Winter < Hermine <  < Mag. pharm.,"Institut für Ökologie, Evolution und Diversität"
4987,Mangelsdorff < Ralph < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4988,Manz < Cathrin <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
4989,Matthess < Yves < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4990,Meyer < Britta <  < ,Institut für Molekulare Biowissenschaften
4991,Mohr < Dominik <  < M.Sc.,"Institut für Ökologie, Evolution und Diversität"
4992,Momma < Stefan < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4993,Morente López < Javier < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4994,Nagy < Dávid < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4995,Nakayama < Masanori < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
4996,Nanudorn < Pakjira < Dr. < ,Institut für Molekulare Biowissenschaften
4997,Nowak < Carsten < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4998,Nyffeler < Jo < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
4999,Oreb < Mislav < Dr. < ,Institut für Molekulare Biowissenschaften
5000,Pampaloni < Francesco < Dr. < PhD,Institut für Zellbiologie und Neurowissenschaft
5001,Parey < Kristian < Dr. < ,Institut für Molekulare Biowissenschaften
5002,Pfefferle < Jakob <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
5003,Ploch < Sebastian <  < ,"Institut für Ökologie, Evolution und Diversität"
5004,Printzen < Christian < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5005,Przybylska Ribeiro < Stefania < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5006,Reichstein < Inska <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
5007,Reschke < Kai Manfred <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
5008,Riehl < Torben < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5009,Rolshausen < Gregor < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5010,Saeedi < Hanieh < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5011,Sarawi < Sepas <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
5012,Schiwy < Sabrina < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5013,Schlatter < Eva <  < ,Didaktik der Biowissenschaften
5014,Schlundt < Andreas < Dr. < ,Institut für Molekulare Biowissenschaften
5015,Schmitz < Isabell < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
5016,Schmitz < Markus <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
5017,Schneider < Sebastian < Dr. < ,Didaktik der Biowissenschaften
5018,Schrauth < Fabian <  < M.Sc.,"Institut für Ökologie, Evolution und Diversität"
5019,Schubert < Anja < Dr. < ,Institut für Molekulare Biowissenschaften
5020,Schulte-Oehlmann < Ulrike < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5021,Schulze < Arne < Dr. < ,Bitte manuell einfügen
5022,Seyrling (geb. Barbosa Pacheco) < Isabel <  < ,Didaktik der Biowissenschaften
5023,Siefert < Paul < Dr. < ,Angeschlossene und kooperierende Institute
5024,Sommer < Julia < Dr. < ,Starker Start ins Studium: Qualitätspakt Lehre
5025,Soose < Laura Johanna <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
5026,Thalau < Peter < Dr. < ,Bitte manuell einfügen
5027,Thiengmag < Sirinthra < Dr. < ,Institut für Molekulare Biowissenschaften
5028,Tran < Vinh < Dr. < ,Institut für Zellbiologie und Neurowissenschaft
5029,Trejos Delgado < Maria Catalina <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
5030,Tucker < Marlee < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5031,Twomey < Evan < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5032,Veranso Libalah < Marie Claire < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5033,Wedmann < Sonja < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5034,Weichert < Fabian <  < M. Sc.,"Institut für Ökologie, Evolution und Diversität"
5035,Weisenborn < Jascha < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5036, <  <  < ,Bitte manuell einfügen
5037,Wittekindt < Anna < Dr. < ,Dekanat und Studiendekanat FB 15
5038,Zölzer < Franziska <  < ,Didaktik der Biowissenschaften
5039,Klein < Hans-Peter < Prof. Dr. < ,Didaktik der Biowissenschaften
5040,Mihm < Alexandra Elisabeth < Dr. < ,Akademische Lehrkrankenhäuser
5041,Munro < Ursula < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5042,Anton < Robert <  < ,Wissenschaftsgarten
5043,Brill < Boris < Dr. < ,Zentrale Einheiten des FB 15
5044,Fischer < Leon <  < ,"Institut für Ökologie, Evolution und Diversität"
5045,Fischer < Monika < Dr. < ,Zentrale Einheiten des FB 15
5046,Foß-Helmer < Franziska < Dr. < ,Dekanat und Studiendekanat FB 15
5047,Hofmann < Lotte P. < Dr. < ,Bitte manuell einfügen
5048,Jung < Carmen <  < ,"Institut für Ökologie, Evolution und Diversität"
5049,Maksudoski < Neat <  < ,"Institut für Ökologie, Evolution und Diversität"
5050,Meyer < Berenike < Dr. < ,"Institut für Ökologie, Evolution und Diversität"
5051,Neske < Marie Therese <  < ,"Institut für Ökologie, Evolution und Diversität"
5052,Schrimpf-Alt < Anne < Dr. < ,Dekanat und Studiendekanat FB 15
5053,Wagenblast < Margit < Dr. < ,Zentrale Einheiten des FB 15
5054,Schliwa < Manfred < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
5055,Dirnberger < Sabrina <  < ,Institut für Molekulare Biowissenschaften
5056,Herrmann < Nicolas < Dr. < ,Institut für Molekulare Biowissenschaften
5057,Hiller < Michael < Prof. Dr. < ,Institut für Zellbiologie und Neurowissenschaft
5058,Korn (geb. Bochmann) < Sophie < Dr. < ,Institut für Molekulare Biowissenschaften
5059,Vargas < Esteban < Prof. Dr. < ,Frankfurt Institute for Advanced Studies (FIAS)
5060,Abplanalp < Wesley Tyler < Prof. Dr. < ,Zentrum der Molekularen Medizin
5061,Arkan-Greten < Canan < Prof'in. Dr. < ,Sonstige Einrichtungen
5062,Bader < Peter < Prof. Dr. < ,Klinik für Kinder- und Jugendmedizin
5063,Bas Orth < Carlos < Prof. Dr. < ,Dr. Senckenbergische Anatomie
5064,Baumann < Uwe < Prof. Dr. < ,"Klinik für Hals-, Nasen-, Ohrenheilkunde"
5065,Becker < Sven < Prof. Dr. < ,Klinik für Frauenheilkunde und Geburtshilfe
5066,Behrens < Frank < Prof. Dr. < ,Zentrum der Inneren Medizin
5067,Bojkova < Denisa < Prof'in. Dr. < ,Zentrum der Hygiene
5068,Bojunga < Jörg < Prof. Dr. < ,Zentrum der Inneren Medizin
5069,Bönig < Halvard Björn < Prof. Dr. < ,Institut für Transfusionsmedizin und Immunhämatologie
5070,Brandes < Ralf < Prof. Dr. < ,Zentrum der Physiologie
5071,Brandts < Christian < Prof. Dr. < ,Zentrum der Inneren Medizin
5072,Brüne < Bernhard < Prof. Dr. < ,Gustav-Embden-Zentrum der Biochemie
5073,Büttner < Florian < Prof. Dr. < ,Zentrum der Inneren Medizin
5074,Chun < Felix K.-H. < Prof. Dr. < ,Zentrum der Chirurgie
5075,Ciesek < Sandra < Prof'in. Dr. < ,Zentrum der Hygiene
5076,Czabanka < Marcus < Prof. Dr. < ,Zentrum der Neurologie und Neurochirurgie
5077,Deichmann < Ralf < Prof. Dr. < ,Zentrum der Neurologie und Neurochirurgie
5078,Deller < Thomas < Prof. Dr. < ,Dr. Senckenbergische Anatomie
5079,Dikic < Ivan < Prof. Dr. < ,Gustav-Embden-Zentrum der Biochemie
5080,Dimmeler < Stefanie < Prof'in. Dr. < ,Zentrum der Molekularen Medizin
5081,Ecker < Christine < Prof'in. Dr. < ,Zentrum der Psychischen Gesundheit
5082,Eickholz < Peter < Prof. Dr. < ,"Zentrum der Zahn-, Mund- und Kieferheilkunde (Carolinum)"
5083,Farin < Henner < Prof. Dr. < ,Sonstige Einrichtungen
5084,Fleming < Ingrid < Prof. Dr. < ,Zentrum der Molekularen Medizin
5085,Frank < Johannes < Prof. Dr. < ,Zentrum der Chirurgie
5086,Frank < Stefan < Prof. Dr. < ,Zentrum der Pharmakologie
5087,Freitag < Christine Margarete < Prof. Dr. < ,Zentrum der Psychischen Gesundheit
5088,Geburtig-Chiocchetti < Andreas < Prof. Dr. < ,Zentrum der Psychischen Gesundheit
5089,Geißlinger < Gerd < Prof. Dr. Dr. < ,Zentrum der Pharmakologie
5090,Gerlach < Ferdinand < Prof. Dr. < ,Institut für Allgemeinmedizin
5091,Ghebremedhin < Estifanos < Prof. Dr. < ,Dr. Senckenbergische Anatomie
5092,Grefkes-Hermann < Christian < Prof. Dr. < ,Zentrum der Neurologie und Neurochirurgie
5093,Greten < Florian Richard < Prof. Dr. < ,Sonstige Krankenhäuser und Praxen
5094,Groneberg < David < Prof. Dr. Dr. h.c. < ,"Institut für Arbeits-, Sozial- und Umweltmedizin"
5095,Güth < Jan-Frederik <  < Prof. Dr.,"Zentrum der Zahn-, Mund- und Kieferheilkunde (Carolinum)"
5096,Hattingen < Elke < Prof'in. Dr. < ,Zentrum der Radiologie
5097,Herrmann < Eva < Prof'in. Dr. < ,Fachbereichszentrum für Digitale Gesundheit
5098,Holubec < Tomas < Prof. Dr. < ,Zentrum der Chirurgie
5099,Imkeller < Katharina < Prof'in. Dr. < ,Neurologisches Institut (Edinger Institut)
5100,Jäger < Elke < Prof'in. Dr. < ,Akademische Lehrkrankenhäuser
5101,Kaiser < Jochen < Prof. Dr. < ,Institut für Medizinische Psychologie
5102,Kannt < Aimo < Prof. Dr. < ,Sonstige Krankenhäuser und Praxen
5103,Kaulich < Manuel < Univ.-Prof. Dr. < ,Frankfurt Cancer Institute
5104,Kempf < Volkhard < Prof. Dr. < ,Zentrum der Hygiene
5105,Kieslich < Matthias < Prof. Dr. < ,Klinik für Kinder- und Jugendmedizin
5106,Klusmann < Jan-Henning < Prof. Dr. < ,Klinik für Kinder- und Jugendmedizin
5107,Kohnen < Thomas < Prof. Dr. < ,Klinik für Augenheilkunde
5108,Kopp < Stefan < Prof. Dr. < ,"Zentrum der Zahn-, Mund- und Kieferheilkunde (Carolinum)"
5109,Krishnan < Jaya < Prof. Dr. < ,Zentrum der Molekularen Medizin
5110,Kurian < Leo < Prof. Dr. < ,Zentrum der Physiologie
5111,Leistner < David M. < Prof. Dr. < ,Zentrum der Inneren Medizin
5112,Lewitzka < Ute < Prof'in. Dr. < ,Zentrum der Psychischen Gesundheit
5113,Lötsch < Jörn < Prof. Dr. Dr. < ,Zentrum der Pharmakologie
5114,Louwen < Frank A. < Prof. Dr. < ,Klinik für Frauenheilkunde und Geburtshilfe
5115,Marzi < Ingo < Prof. Dr. < ,Zentrum der Chirurgie
5116,Meyer zu Heringdorf < Dagmar < Prof'in. Dr. < ,Zentrum der Pharmakologie
5117,Michalareas < Georgios < Prof. Dr. < ,Zentrale Einrichtungen
5118,Mühl < Heiko < Prof. Dr. < ,Zentrum der Pharmakologie
5119,Müller < Stefan (FB 16) < Prof. Dr. < ,Gustav-Embden-Zentrum der Biochemie
5120,Nagel < Eike < Prof. Dr. < ,Zentrum der Inneren Medizin
5121,Oellerich < Thomas < Prof. Dr. < ,Zentrum der Inneren Medizin
5122,Offermanns < Stefan < Prof. Dr. < ,Zentrum der Molekularen Medizin
5123,Oikonomou < Kyriakos < Prof. Dr. < ,Zentrum der Chirurgie
5124,Pantel < Johannes < Prof. Dr. < ,Institut für Allgemeinmedizin
5125,Pfeilschifter < Josef M. < Prof. Dr. < ,Zentrum der Pharmakologie
5126,Plate < Karl-Heinz < Prof. Dr. < ,Neurologisches Institut (Edinger Institut)
5127,Plichta < Michael < Prof. Dr. < ,Zentrum der Psychischen Gesundheit
5128,Reif < Andreas < Prof. Dr. < ,Zentrum der Psychischen Gesundheit
5129,Reis < Henning < Prof. Dr. < ,Dr. Senckenbergische Institute für Pathologie und Humangenetik
5130,Repple < Jonathan < Prof. Dr. < ,Zentrum der Psychischen Gesundheit
5131,Rieger < Michael A. < Prof. Dr. < ,Zentrum der Inneren Medizin
5132,Rödel < Claus < Prof. Dr. < ,Zentrum der Radiologie
5133,Rohde < Gernot < Prof. Dr. < ,Zentrum der Inneren Medizin
